Device,Prices
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,648"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,999"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹39,470"
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹43,199"
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)","₹30,900"
"OnePlus Nord 3 5G (Tempest Gray, 256 GB)","₹36,437"
"OnePlus Nord CE3 5G (Aqua Surge, 128 GB)","₹26,938"
"OnePlus 11R 5G (Galactic Silver, 128 GB)","₹38,709"
"OnePlus 10R (Sierra Black, 128 GB)","₹28,900"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹39,233"
"OnePlus 10R (Forest Green, 128 GB)","₹29,658"
"OnePlus 11R 5G (Sonic Black, 256 GB)","₹42,884"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹38,888"
"OnePlus Nord 3 5G (Misty Green, 128 GB)","₹31,720"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹17,799"
"OnePlus Nord CE3 5G (Aqua Surge, 256 GB)","₹32,999"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹39,059"
"OnePlus 11 5G (Eternal Green, 128 GB)","₹54,999"
"OnePlus Nord 3 5G (Misty Green, 256 GB)","₹36,640"
"OnePlus 10R 5G (Prime Blue, 128 GB)","₹30,380"
"OnePlus 10R (Sierra Black, 128 GB)","₹30,990"
"OnePlus Nord CE3 5G (Grey Shimmer, 256 GB)","₹32,999"
"OnePlus Nord CE3 5G (Grey Shimmer, 128 GB)","₹30,999"
"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹46,900"
